method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,bottleneck_channels,bottleneck_epochs,raw_input_scale
cloud_only,wifi,0.99725,68.83719726456424,109.64514500820844,0.3934166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
deadline_greedy,wifi,0.991,56.546100819435964,95.35793091372226,0.18841666666666668,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
oracle_split,wifi,0.9914166666666666,56.48439824743309,95.27035074303411,0.18808333333333332,6.683,0.010787090166666667,0.0,1.0,0.0,0.0,0.03716666666666667,0.9628333333333333,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_split_controller,wifi,0.991,56.546100819435964,95.35793091372226,0.18841666666666668,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_controller,wifi,0.9971666666666666,60.74574039696291,60.7726,0.0011666666666666668,0.011166666666666667,0.03026510408333334,0.0,0.005583333333333333,0.9944166666666666,0.0,0.0,0.005583333333333333,0.0,0.0,0.9944166666666666,mnist,7,0.1,8,8,128.0
cloud_only,lte,0.99725,170.76410486463578,276.5386646363351,0.99775,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
deadline_greedy,lte,0.991,92.5844456151412,147.55532682171258,0.7555,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
oracle_split,lte,0.991,92.58432085082578,147.55532682171258,0.7555,2.0105,0.008737605583333335,0.0,1.0,0.0,0.0,8.333333333333333e-05,0.9999166666666667,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_split_controller,lte,0.991,92.5844456151412,147.55532682171258,0.7555,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_controller,lte,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,8,8,128.0
cloud_only,congested,0.99725,420.4893929141193,837.9887082768712,0.9998333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
deadline_greedy,congested,0.991,153.11648220026055,290.4588867059438,0.9534166666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
oracle_split,congested,0.991,153.11434953278408,290.4588867059438,0.9534166666666667,1.99875,0.008741817500000004,0.0,1.0,0.0,0.0,0.0,0.9991666666666666,0.0008333333333333334,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_split_controller,congested,0.991,153.11648220026055,290.4588867059438,0.9534166666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_controller,congested,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,8,8,128.0
cloud_only,mixed,0.99725,358.64322260880704,1052.9855801226868,0.9788333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
deadline_greedy,mixed,0.991,195.25423838788524,521.3800966025456,0.8691666666666666,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
oracle_split,mixed,0.991,195.15068595052458,521.3800966025456,0.868,5.050875,0.010105849500000003,0.0,1.0,0.0,0.0,0.02425,0.9726666666666667,0.0030833333333333333,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_split_controller,mixed,0.991,195.25423838788524,521.3800966025456,0.8691666666666666,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,8,8,128.0
coda_controller,mixed,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,8,8,128.0
cloud_only,wifi,0.9966666666666667,69.19181124024287,110.49611974644297,0.39716666666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
deadline_greedy,wifi,0.9925,56.734870945460756,95.60741717796954,0.19441666666666665,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
oracle_split,wifi,0.9929166666666667,56.678408599960385,95.56471688307124,0.19383333333333333,6.5255,0.010718006416666669,0.0,1.0,0.0,0.0,0.035916666666666666,0.9640833333333333,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_split_controller,wifi,0.9925,56.734870945460756,95.60741717796954,0.19441666666666665,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_controller,wifi,0.9968333333333333,60.6999312746031,60.7726,0.0015833333333333333,0.019833333333333335,0.03017127441666667,0.0,0.009916666666666667,0.9900833333333333,0.0,0.0,0.009916666666666667,0.0,0.0,0.9900833333333333,mnist,13,0.1,8,8,128.0
cloud_only,lte,0.9966666666666667,172.24653890921144,283.94280663426906,0.9971666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
deadline_greedy,lte,0.9925,93.20115577526158,150.85880201030056,0.7568333333333334,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
oracle_split,lte,0.9925,93.2010747531261,150.85880201030056,0.7568333333333334,2.0105,0.008737605583333335,0.0,1.0,0.0,0.0,8.333333333333333e-05,0.9999166666666667,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_split_controller,lte,0.9925,93.20115577526158,150.85880201030056,0.7568333333333334,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_controller,lte,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,8,8,128.0
cloud_only,congested,0.9966666666666667,422.4925821670053,856.5725536185131,0.9998333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
deadline_greedy,congested,0.9925,153.0178249889738,290.65089880497675,0.9501666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
oracle_split,congested,0.9925,153.01298407551607,290.65089880497675,0.9501666666666667,1.99875,0.008741817500000004,0.0,1.0,0.0,0.0,0.0,0.9991666666666666,0.0008333333333333334,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_split_controller,congested,0.9925,153.0178249889738,290.65089880497675,0.9501666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_controller,congested,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,8,8,128.0
cloud_only,mixed,0.9966666666666667,363.45201023137406,1067.7868765173985,0.9795833333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
deadline_greedy,mixed,0.9925,198.1023122647606,531.0521453896904,0.876,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
oracle_split,mixed,0.9925,198.00775022294312,531.0521453896904,0.8754166666666666,4.505375,0.00986283216666667,0.0,1.0,0.0,0.0,0.019916666666666666,0.9773333333333334,0.00275,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_split_controller,mixed,0.9925,198.1023122647606,531.0521453896904,0.876,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,8,8,128.0
coda_controller,mixed,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,8,8,128.0
cloud_only,wifi,0.99625,68.87459144029587,109.15910071729962,0.3973333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
deadline_greedy,wifi,0.9898333333333333,56.47730773603307,94.11994539694112,0.19283333333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
oracle_split,wifi,0.9898333333333333,56.415660454650684,94.09395313397714,0.19233333333333333,6.326,0.010630500333333334,0.0,1.0,0.0,0.0,0.034333333333333334,0.9656666666666667,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_split_controller,wifi,0.9898333333333333,56.47730773603307,94.11994539694112,0.19283333333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_controller,wifi,0.99625,60.763546965022044,60.7726,0.0006666666666666666,0.005833333333333334,0.03032284541666667,0.0,0.002916666666666667,0.9970833333333333,0.0,0.0,0.002916666666666667,0.0,0.0,0.9970833333333333,mnist,29,0.1,8,8,128.0
