method,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,seed,alpha
aodpart,0.9304375,27.163936687049016,42.114599999999996,0.0006385416666666667,0.024267708333333332,0.013416642689583333,0.9678708333333332,0.008307291666666666,0.023821875,0.05636854930409517,0.008307291666666666,0.0,0.0,0.0,0.023821875,38.4,0.1
branchynet,0.9274333333333333,29.48670166354942,52.61416284468204,0.017127083333333334,0.09695416666666666,0.0129867278625,0.9670791666666666,0.03292083333333333,0.0,0.059421813713677774,0.03292083333333333,0.0,0.0,0.0,0.0,38.4,0.1
cloud_only,0.944975,109.40668810845662,251.9164234816745,0.5164864583333333,2.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.4,0.1
coda_risk,0.9423875,32.04926918703243,58.80615900814466,0.00095,0.04044166666666667,0.015721630866666666,0.9198333333333334,0.015714583333333334,0.06445208333333333,0.028182203877425104,0.015714583333333334,0.0,0.0,0.0,0.06445208333333333,38.4,0.1
coda_sc,0.9258583333333334,26.774378157803206,48.489858749999996,0.0004947916666666666,0.014911458333333332,0.01324186439375,0.9703291666666667,0.007436458333333333,0.022234375,0.06721072682311796,0.007436458333333333,0.0,0.0,0.0,0.022234375,38.4,0.1
confidence_exit,0.9304375,28.880310333328957,51.627373221265984,0.016705208333333332,0.0946375,0.012722483437500001,0.9678708333333332,0.03212916666666667,0.0,0.05636854930409517,0.03212916666666667,0.0,0.0,0.0,0.0,38.4,0.1
conformal_exit,0.9258583333333334,28.307021346555718,47.80611819379188,0.015404166666666667,0.0595375,0.012585921479166668,0.9703291666666667,0.029670833333333334,0.0,0.06721072682311796,0.029670833333333334,0.0,0.0,0.0,0.0,38.4,0.1
crc_exit,0.9423875,36.236824139939806,77.04379928285967,0.041272916666666666,0.20706666666666668,0.013834445958333334,0.9198333333333334,0.08016666666666666,0.0,0.028182203877425104,0.08016666666666666,0.0,0.0,0.0,0.0,38.4,0.1
deadline_greedy,0.944975,109.40668810845662,251.9164234816745,0.5164864583333333,2.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.4,0.1
local_only,0.944975,61.008500000000005,61.008500000000005,0.0,0.0,0.030504000000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.4,0.1
oracle_split,0.944975,109.40668810845662,251.9164234816745,0.5164864583333333,2.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.4,0.1
static_split,0.944975,109.40668810845662,251.9164234816745,0.5164864583333333,2.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.4,0.1
