method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,raw_input_scale,payload_scale
cloud_only,wifi,0.9975,68.74481264651837,108.65822934416502,0.39216666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
deadline_greedy,wifi,0.9975,56.43969295800304,94.60723112979629,0.18833333333333332,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
oracle_split,wifi,0.9975,56.37377441155204,94.51308487359731,0.188,6.683,0.010762056499999995,0.0,1.0,0.0,0.0,0.03716666666666667,0.9628333333333333,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_split_controller,wifi,0.9975,56.43969295800304,94.60723112979629,0.18833333333333332,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_controller,wifi,0.9975,60.71829119392579,60.7726,0.0023333333333333335,0.022333333333333334,0.03014391783333334,0.0,0.011166666666666667,0.9888333333333333,0.0,0.0,0.011166666666666667,0.0,0.0,0.9888333333333333,mnist,7,0.1,128.0,0.125
cloud_only,lte,0.9975,170.0066692587894,277.3297977892708,0.998,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
deadline_greedy,lte,0.9975,92.41789256293454,147.75109652855227,0.7535,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
oracle_split,lte,0.9975,92.41765183430367,147.75109652855227,0.7535,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_split_controller,lte,0.9975,92.41789256293454,147.75109652855227,0.7535,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_controller,lte,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,128.0,0.125
cloud_only,congested,0.9975,421.5142767773252,835.3272983306857,0.9998333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
deadline_greedy,congested,0.9975,155.38845760507962,302.7819446808802,0.9521666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
oracle_split,congested,0.9975,155.38845760507962,302.7819446808802,0.9521666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_split_controller,congested,0.9975,155.38845760507962,302.7819446808802,0.9521666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_controller,congested,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,128.0,0.125
cloud_only,mixed,0.9975,349.8945837153158,1035.9034321010083,0.9783333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
deadline_greedy,mixed,0.9975,189.75280604491616,516.9140518779061,0.8665,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
oracle_split,mixed,0.9975,189.67368681201995,516.9140518779061,0.8655,4.918166666666667,0.009996991166666663,0.0,1.0,0.0,0.0,0.023166666666666665,0.976,0.0008333333333333334,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_split_controller,mixed,0.9975,189.75280604491616,516.9140518779061,0.8665,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,7,0.1,128.0,0.125
coda_controller,mixed,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1,128.0,0.125
cloud_only,wifi,0.9958333333333333,69.07875143077514,109.42508803512246,0.39316666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
deadline_greedy,wifi,0.9958333333333333,56.55041446644756,94.6201904981972,0.19333333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
oracle_split,wifi,0.9958333333333333,56.49381642507493,94.53850622052089,0.1925,6.494,0.010679116999999995,0.0,1.0,0.0,0.0,0.035666666666666666,0.9643333333333334,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_split_controller,wifi,0.9958333333333333,56.55041446644756,94.6201904981972,0.19333333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_controller,wifi,0.9958333333333333,60.62621534920621,60.7726,0.0031666666666666666,0.03966666666666667,0.02995603316666667,0.0,0.019833333333333335,0.9801666666666666,0.0,0.0,0.019833333333333335,0.0,0.0,0.9801666666666666,mnist,13,0.1,128.0,0.125
cloud_only,lte,0.9958333333333333,172.33375042217227,284.60526560994543,0.9971666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
deadline_greedy,lte,0.9958333333333333,92.73866507206287,149.1645019579772,0.7575,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
oracle_split,lte,0.9958333333333333,92.73851182779188,149.1645019579772,0.7575,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
