method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
local_only,wifi,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1
cloud_only,wifi,0.99725,40.874421482569865,79.62639853124782,0.0825,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
static_split,wifi,0.99725,40.874421482569865,79.62639853124782,0.0825,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
oracle_split,wifi,0.99725,40.874421482569865,79.62639853124782,0.0825,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
confidence_exit,wifi,0.9863333333333333,19.63030509036541,19.199,0.0,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
branchynet,wifi,0.978,19.204670975000006,19.199,0.0,0.0,0.009602835249999999,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,7,0.1
deadline_greedy,wifi,0.99725,40.874421482569865,79.62639853124782,0.0825,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
aodpart,wifi,0.9863333333333333,19.63030509036541,19.199,0.0,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
conformal_exit,wifi,0.9960833333333333,21.483293801731417,41.8829,0.0036666666666666666,0.049833333333333334,0.009747516166666666,0.9501666666666667,0.049833333333333334,0.0,0.0020171899666725137,0.049833333333333334,0.0,0.0,0.0,0.0,mnist,7,0.1
crc_exit,wifi,0.9955833333333334,21.535624097618193,41.8829,0.0005833333333333334,0.008083333333333333,0.010599985166666666,0.9919166666666667,0.008083333333333333,0.0,0.002856422750567084,0.008083333333333333,0.0,0.0,0.0,0.0,mnist,7,0.1
coda_sc,wifi,0.9960833333333333,21.483293801731417,41.8829,0.0036666666666666666,0.049833333333333334,0.009747516166666666,0.9501666666666667,0.049833333333333334,0.0,0.0020171899666725137,0.049833333333333334,0.0,0.0,0.0,0.0,mnist,7,0.1
coda_risk,wifi,0.9955833333333334,21.535624097618193,41.8829,0.0005833333333333334,0.008083333333333333,0.010599985166666666,0.9919166666666667,0.008083333333333333,0.0,0.002856422750567084,0.008083333333333333,0.0,0.0,0.0,0.0,mnist,7,0.1
local_only,lte,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1
cloud_only,lte,0.99725,76.38984117665315,131.33646611345125,0.48725,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
static_split,lte,0.99725,76.38984117665315,131.33646611345125,0.48725,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
